datetime,demand,plant,net_generation,coal,hydro,natural_gas,nuclear,other,solar,wind,total_interchange
20200224T08Z,31326.0,ERCO,36851.0,7484.0,44.0,12435.0,5117.0,19.0,47.0,11705.0,-36.0
20200224T07Z,32271.0,ERCO,35952.0,5596.0,44.0,11870.0,5117.0,20.0,2.0,13304.0,-92.0
20200224T06Z,33969.0,ERCO,35084.0,5423.0,44.0,10367.0,5117.0,25.0,0.0,14108.0,-70.0
20200224T05Z,36295.0,ERCO,34100.0,5718.0,45.0,8308.0,5118.0,27.0,0.0,14884.0,-56.0
20200224T04Z,38399.0,ERCO,33721.0,5625.0,45.0,6906.0,5118.0,26.0,0.0,16001.0,-100.0
20200224T03Z,39675.0,ERCO,33696.0,5547.0,45.0,6627.0,5117.0,25.0,0.0,16335.0,-124.0
20200224T02Z,40322.0,ERCO,33885.0,5627.0,45.0,6699.0,5117.0,25.0,0.0,16371.0,-56.0
20200224T01Z,39908.0,ERCO,34378.0,5927.0,45.0,6843.0,5117.0,27.0,0.0,16418.0,-14.0
20200224T00Z,38538.0,ERCO,35294.0,6376.0,45.0,7237.0,5117.0,28.0,0.0,16490.0,-13.0
20200223T23Z,37752.0,ERCO,36493.0,6457.0,41.0,8251.0,5117.0,27.0,0.0,16598.0,-21.0
20200223T22Z,37323.0,ERCO,37684.0,6128.0,42.0,9908.0,5117.0,28.0,1.0,16460.0,-21.0
20200223T21Z,37357.0,ERCO,38716.0,5837.0,66.0,11492.0,5117.0,29.0,1.0,16174.0,-16.0
20200223T20Z,37467.0,ERCO,39220.0,5572.0,65.0,12892.0,5116.0,31.0,0.0,15543.0,118.0
20200223T19Z,37516.0,ERCO,39182.0,6274.0,65.0,14509.0,5117.0,36.0,0.0,13181.0,-227.0
20200223T18Z,37623.0,ERCO,38403.0,7311.0,66.0,14971.0,5116.0,34.0,23.0,10882.0,-212.0
20200223T17Z,37761.0,ERCO,36166.0,5564.0,66.0,14260.0,5117.0,33.0,260.0,10867.0,-210.0
20200223T16Z,37569.0,ERCO,35608.0,4778.0,66.0,13457.0,5116.0,29.0,524.0,11638.0,-115.0
20200223T15Z,36905.0,ERCO,35700.0,4764.0,66.0,13253.0,5116.0,30.0,901.0,11571.0,-190.0
20200223T14Z,35923.0,ERCO,36292.0,4928.0,74.0,13976.0,5116.0,29.0,1385.0,10784.0,-217.0
20200223T13Z,35119.0,ERCO,37161.0,5306.0,109.0,14014.0,5116.0,33.0,1704.0,10878.0,-218.0
20200223T12Z,34192.0,ERCO,38369.0,6096.0,109.0,14847.0,5117.0,28.0,1657.0,10514.0,-226.0
20200223T11Z,33791.0,ERCO,40126.0,6129.0,116.0,16414.0,5118.0,25.0,1437.0,10886.0,-255.0
20200223T10Z,33751.0,ERCO,41947.0,6166.0,120.0,17919.0,5117.0,29.0,1043.0,11553.0,-130.0
20200223T09Z,33984.0,ERCO,43398.0,7186.0,48.0,18952.0,5118.0,27.0,833.0,11234.0,-138.0
20200223T08Z,34501.0,ERCO,44333.0,7020.0,48.0,20557.0,5118.0,38.0,398.0,11155.0,-238.0
20200223T07Z,35350.0,ERCO,43969.0,6318.0,48.0,19433.0,5118.0,34.0,38.0,12980.0,-48.0
20200223T06Z,36506.0,ERCO,42631.0,5535.0,48.0,19361.0,5118.0,30.0,0.0,12540.0,6.0
20200223T05Z,37697.0,ERCO,41028.0,5049.0,48.0,17573.0,5118.0,30.0,0.0,13211.0,-64.0
20200223T04Z,38736.0,ERCO,39821.0,4724.0,48.0,16606.0,5123.0,30.0,0.0,13290.0,-114.0
20200223T03Z,39241.0,ERCO,39319.0,4717.0,48.0,16205.0,5124.0,33.0,0.0,13192.0,-174.0
20200223T02Z,39197.0,ERCO,39244.0,4683.0,48.0,16147.0,5119.0,30.0,0.0,13216.0,-243.0
20200223T01Z,38284.0,ERCO,39468.0,4687.0,48.0,15833.0,5118.0,33.0,0.0,13749.0,-160.0
20200223T00Z,36393.0,ERCO,39924.0,5090.0,48.0,16635.0,5117.0,33.0,0.0,13000.0,-191.0
20200222T23Z,35820.0,ERCO,41013.0,5227.0,41.0,18263.0,5118.0,34.0,0.0,12329.0,-111.0
20200222T22Z,35909.0,ERCO,42335.0,5357.0,44.0,20374.0,5117.0,37.0,0.0,11404.0,-172.0
20200222T21Z,36406.0,ERCO,43570.0,5484.0,66.0,22846.0,5118.0,37.0,0.0,10019.0,-33.0
20200222T20Z,37350.0,ERCO,43857.0,5703.0,66.0,24528.0,5118.0,42.0,0.0,8400.0,-233.0
