datetime,forecast_demand,plant
20220126T23Z,44341,ERCO
20220126T22Z,43634,ERCO
20220126T21Z,44125,ERCO
20220126T20Z,45212,ERCO
20220126T19Z,46613,ERCO
20220126T18Z,48307,ERCO
20220126T17Z,49804,ERCO
20220126T16Z,51051,ERCO
20220126T15Z,52121,ERCO
20220126T14Z,52728,ERCO
20220126T13Z,50635,ERCO
20220126T12Z,45988,ERCO
20220126T11Z,42752,ERCO
20220126T10Z,41223,ERCO
20220126T09Z,40653,ERCO
20220126T08Z,40564,ERCO
20220126T07Z,41094,ERCO
20220126T06Z,43465,ERCO
20220126T05Z,44998,ERCO
20220126T04Z,46732,ERCO
20220126T03Z,47834,ERCO
20220126T02Z,48101,ERCO
20220126T01Z,47628,ERCO
20220126T00Z,45076,ERCO
20220125T23Z,43410,ERCO
20220125T22Z,43081,ERCO
20220125T21Z,43778,ERCO
20220125T20Z,44723,ERCO
20220125T19Z,45836,ERCO
20220125T18Z,47122,ERCO
20220125T17Z,48270,ERCO
20220125T16Z,49136,ERCO
20220125T15Z,49907,ERCO
20220125T14Z,50395,ERCO
20220125T13Z,48469,ERCO
20220125T12Z,44379,ERCO
20220125T11Z,41682,ERCO
20220125T10Z,40540,ERCO
20220125T09Z,40251,ERCO
20220125T08Z,40575,ERCO
20220125T07Z,41433,ERCO
20220125T06Z,43682,ERCO
20220125T05Z,45805,ERCO
20220125T04Z,48086,ERCO
20220125T03Z,49480,ERCO
20220125T02Z,50146,ERCO
20220125T01Z,50232,ERCO
20220125T00Z,48098,ERCO
20220124T23Z,46610,ERCO
20220124T22Z,46308,ERCO
20220124T21Z,46900,ERCO
20220124T20Z,47724,ERCO
20220124T19Z,48580,ERCO
20220124T18Z,49398,ERCO
20220124T17Z,49966,ERCO
20220124T16Z,50169,ERCO
20220124T15Z,50197,ERCO
20220124T14Z,50163,ERCO
20220124T13Z,48205,ERCO
20220124T12Z,44196,ERCO
20220124T11Z,41580,ERCO
20220124T10Z,40512,ERCO
20220124T09Z,40299,ERCO
20220124T08Z,40523,ERCO
20220124T07Z,41301,ERCO
20220124T06Z,43249,ERCO
20220124T05Z,45409,ERCO
20220124T04Z,47363,ERCO
20220124T03Z,48525,ERCO
20220124T02Z,48825,ERCO
20220124T01Z,48289,ERCO
20220124T00Z,44874,ERCO
20220123T23Z,42616,ERCO
20220123T22Z,42335,ERCO
20220123T21Z,43220,ERCO
20220123T20Z,44815,ERCO
20220123T19Z,46708,ERCO
20220123T18Z,48663,ERCO
20220123T17Z,50592,ERCO
20220123T16Z,52331,ERCO
20220123T15Z,53240,ERCO
20220123T14Z,52522,ERCO
20220123T13Z,50261,ERCO
20220123T12Z,47966,ERCO
20220123T11Z,46253,ERCO
20220123T10Z,45297,ERCO
20220123T09Z,44944,ERCO
20220123T08Z,45408,ERCO
20220123T07Z,46295,ERCO
20220123T06Z,47886,ERCO
20220123T05Z,49456,ERCO
20220123T04Z,50979,ERCO
20220123T03Z,51462,ERCO
20220123T02Z,51505,ERCO
20220123T01Z,50955,ERCO
20220123T00Z,47914,ERCO
20220122T23Z,46074,ERCO
20220122T22Z,45812,ERCO
20220122T21Z,46714,ERCO
20220122T20Z,48435,ERCO
20220122T19Z,50623,ERCO
20220122T18Z,53115,ERCO
20220122T17Z,55569,ERCO
20220122T16Z,57996,ERCO
20220122T15Z,59859,ERCO
20220122T14Z,59873,ERCO
20220122T13Z,57733,ERCO
20220122T12Z,55019,ERCO
20220122T11Z,52963,ERCO
20220122T10Z,51773,ERCO
20220122T09Z,51196,ERCO
20220122T08Z,51184,ERCO
20220122T07Z,51547,ERCO
20220122T06Z,51657,ERCO
20220122T05Z,52921,ERCO
20220122T04Z,54212,ERCO
20220122T03Z,54627,ERCO
20220122T02Z,54576,ERCO
20220122T01Z,54030,ERCO
20220122T00Z,51562,ERCO
20220121T23Z,50257,ERCO
20220121T22Z,50345,ERCO
20220121T21Z,51616,ERCO
20220121T20Z,53376,ERCO
20220121T19Z,55285,ERCO
20220121T18Z,57509,ERCO
20220121T17Z,59674,ERCO
20220121T16Z,61726,ERCO
20220121T15Z,63600,ERCO
20220121T14Z,64603,ERCO
20220121T13Z,62766,ERCO
20220121T12Z,58752,ERCO
20220121T11Z,55752,ERCO
20220121T10Z,54165,ERCO
20220121T09Z,53442,ERCO
20220121T08Z,53415,ERCO
20220121T07Z,53892,ERCO
20220121T06Z,55027,ERCO
20220121T05Z,57315,ERCO
20220121T04Z,59898,ERCO
20220121T03Z,61451,ERCO
20220121T02Z,61996,ERCO
20220121T01Z,62016,ERCO
20220121T00Z,59102,ERCO
20220120T23Z,56332,ERCO
20220120T22Z,55241,ERCO
20220120T21Z,55684,ERCO
20220120T20Z,56617,ERCO
20220120T19Z,57592,ERCO
20220120T18Z,58460,ERCO
20220120T17Z,58834,ERCO
20220120T16Z,58572,ERCO
20220120T15Z,58055,ERCO
20220120T14Z,57281,ERCO
20220120T13Z,54175,ERCO
20220120T12Z,49066,ERCO
20220120T11Z,45410,ERCO
20220120T10Z,43459,ERCO
20220120T09Z,42624,ERCO
20220120T08Z,41925,ERCO
20220120T07Z,41820,ERCO
20220120T06Z,39074,ERCO
20220120T05Z,40678,ERCO
20220120T04Z,42262,ERCO
20220120T03Z,43428,ERCO
20220120T02Z,43978,ERCO
20220120T01Z,43965,ERCO
20220120T00Z,42060,ERCO
20220119T23Z,40961,ERCO
20220119T22Z,40604,ERCO
20220119T21Z,40658,ERCO
20220119T20Z,40718,ERCO
20220119T19Z,40609,ERCO
20220119T18Z,40634,ERCO
20220119T17Z,40612,ERCO
20220119T16Z,40549,ERCO
20220119T15Z,40564,ERCO
20220119T14Z,40643,ERCO
20220119T13Z,38844,ERCO
20220119T12Z,35315,ERCO
20220119T11Z,33210,ERCO
20220119T10Z,32460,ERCO
20220119T09Z,32500,ERCO
20220119T08Z,33147,ERCO
20220119T07Z,34363,ERCO
20220119T06Z,36893,ERCO
20220119T05Z,38833,ERCO
20220119T04Z,40807,ERCO
20220119T03Z,41944,ERCO
20220119T02Z,42527,ERCO
20220119T01Z,42522,ERCO
20220119T00Z,41124,ERCO
20220118T23Z,40674,ERCO
20220118T22Z,40685,ERCO
20220118T21Z,40966,ERCO
20220118T20Z,41245,ERCO
20220118T19Z,41544,ERCO
20220118T18Z,42061,ERCO
20220118T17Z,42813,ERCO
20220118T16Z,43777,ERCO
20220118T15Z,45045,ERCO
20220118T14Z,45882,ERCO
20220118T13Z,44423,ERCO
20220118T12Z,41047,ERCO
20220118T11Z,38827,ERCO
20220118T10Z,37852,ERCO
20220118T09Z,37589,ERCO
20220118T08Z,37596,ERCO
20220118T07Z,37991,ERCO
20220118T06Z,39930,ERCO
20220118T05Z,41730,ERCO
20220118T04Z,43694,ERCO
20220118T03Z,45196,ERCO
20220118T02Z,45623,ERCO
20220118T01Z,44992,ERCO
20220118T00Z,41123,ERCO
20220117T23Z,39369,ERCO
20220117T22Z,39176,ERCO
20220117T21Z,40099,ERCO
20220117T20Z,41585,ERCO
20220117T19Z,43531,ERCO
20220117T18Z,46011,ERCO
20220117T17Z,48752,ERCO
20220117T16Z,51351,ERCO
20220117T15Z,53789,ERCO
20220117T14Z,54245,ERCO
20220117T13Z,51394,ERCO
20220117T12Z,46844,ERCO
20220117T11Z,43239,ERCO
20220117T10Z,41328,ERCO
20220117T09Z,40393,ERCO
20220117T08Z,41094,ERCO
20220117T07Z,42226,ERCO
20220117T06Z,43149,ERCO
20220117T05Z,45353,ERCO
20220117T04Z,47366,ERCO
20220117T03Z,47832,ERCO
20220117T02Z,47617,ERCO
20220117T01Z,46666,ERCO
20220117T00Z,43779,ERCO
20220116T23Z,42047,ERCO
20220116T22Z,41668,ERCO
20220116T21Z,42185,ERCO
20220116T20Z,43391,ERCO
20220116T19Z,45043,ERCO
20220116T18Z,47131,ERCO
20220116T17Z,49403,ERCO
20220116T16Z,51665,ERCO
20220116T15Z,53315,ERCO
20220116T14Z,53417,ERCO
20220116T13Z,51805,ERCO
20220116T12Z,49786,ERCO
20220116T11Z,48275,ERCO
20220116T10Z,47387,ERCO
20220116T09Z,46893,ERCO
20220116T08Z,46988,ERCO
20220116T07Z,47403,ERCO
20220116T06Z,49024,ERCO
20220116T05Z,50778,ERCO
20220116T04Z,52812,ERCO
20220116T03Z,53902,ERCO
20220116T02Z,54438,ERCO
20220116T01Z,54586,ERCO
20220116T00Z,52329,ERCO
20220115T23Z,50198,ERCO
20220115T22Z,49150,ERCO
20220115T21Z,48946,ERCO
20220115T20Z,49197,ERCO
20220115T19Z,49629,ERCO
20220115T18Z,49632,ERCO
20220115T17Z,49195,ERCO
20220115T16Z,48220,ERCO
20220115T15Z,46888,ERCO
20220115T14Z,45205,ERCO
20220115T13Z,42681,ERCO
20220115T12Z,39885,ERCO
20220115T11Z,37942,ERCO
